cell,flux,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev",tbr,tbr_stdev,"Th232(n,fis)","Th232(n,fis)_stdev","Th232(n,g)","Th232(n,g)_stdev",U233_kg/yr,U233_kg/yr_stdev
11,3.088396816117344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,6.1756089324353765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,30.82742864503247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,6.188808500684754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,270.44221720634846,0.8119051946584288,8.269435919918966e-05,0.001765773310120291,1.8384673248327827e-07,0.8136709679685491,8.287820593167293e-05,0.0006600085591281202,5.820537967231651e-08,0.006872134502426206,8.907924859386647e-07,29.738280655348966,0.003854790231938489
23,27.40148771372189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,120.11890463999693,0.4294595057456855,5.498682180640947e-05,0.000180206564323748,8.136187751769512e-08,0.42963971231000925,5.506818368392716e-05,9.629967100561889e-05,2.790815638094622e-08,0.0039416144383259315,7.122508148137205e-07,17.056830939605277,0.0030821740494825028
24,10.934193271939268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,1.7276130034061532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,12.494135243720745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,7.574560724285501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,31.372369700941462,0.12785928107257802,3.7156432083408306e-05,1.554417579377523e-05,2.1920319096184343e-08,0.1278748252483718,3.717835240250449e-05,1.0765834881965495e-05,8.451252673193776e-09,0.0012517102177514337,5.09601699700204e-07,5.41661542589399,0.002205235995130359
26,7.369068169578255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.7250380990191256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,7.1187982538393975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total,543.558628921067,1.3692239814766922,0.00017483761308900744,0.001961524050237814,2.8712892909715773e-07,1.3711855055269302,0.0001751247420181046,0.0007670740650157046,9.456478872645651e-08,0.012065459158503572,2.1126450004525893e-06,52.21172702084823,0.009142200276551351
