energy_mid_eV,"Be (n,2n)","Be (n,2n) err","Be (n,n')","Be (n,n') err","Pb (n,2n)","Pb (n,2n) err","Pb (n,n')","Pb (n,n') err","Li7 (n,2n)","Li7 (n,2n) err","Li7 (n,n')","Li7 (n,n') err","U (n,2n)","U (n,2n) err",U nu-fission,U nu-fission err,"U (n,n')","U (n,n') err","Th (n,2n)","Th (n,2n) err",Th nu-fission,Th nu-fission err,"Th (n,n')","Th (n,n') err"
1004.8754096390539,4.512441339035676e-10,7.334797763931123e-11,0.0,0.0,4.10221939912334e-11,2.0197932086497376e-11,0.0,0.0,0.0,0.0,0.0,0.0,4.10221939912334e-11,2.0197932086497376e-11,5.230329733882261e-10,5.920146490091187e-11,1.025554849780835e-11,1.025554849780835e-11,9.229993648027513e-11,2.9497366637736917e-11,1.230665819737002e-10,3.349448113599598e-11,0.0,0.0
1014.6737681554596,4.976691940213701e-10,6.846759574394321e-11,0.0,0.0,2.031302832740285e-11,1.4290753128030015e-11,0.0,0.0,0.0,0.0,0.0,0.0,4.06260566548057e-11,2.0002887545003506e-11,3.4532148156584864e-10,5.8138992824842805e-11,0.0,0.0,4.06260566548057e-11,2.0002887545003506e-11,5.078257081850712e-11,2.2247124540060927e-11,0.0,0.0
1024.5676686949807,5.029218085192377e-10,7.632209707589117e-11,0.0,0.0,8.046748936307798e-11,2.742532445238983e-11,0.0,0.0,0.0,0.0,0.0,0.0,5.029218085192373e-11,2.203229164594126e-11,3.5204526596346636e-10,5.420405677416371e-11,0.0,0.0,7.040905319269323e-11,2.5793089271796096e-11,1.0058436170384746e-10,3.032732614082317e-11,0.0,0.0
1034.5580428706176,4.482587377259213e-10,6.069142358610196e-11,0.0,0.0,5.976783169678946e-11,2.37759678464542e-11,0.0,0.0,0.0,0.0,0.0,0.0,8.965174754518418e-11,2.8651054029915462e-11,5.57833095836702e-10,7.534601281306023e-11,9.961305282798244e-12,9.961305282798244e-12,9.961305282798244e-12,9.961305282798244e-12,1.2949696867637719e-10,3.366897965679906e-11,0.0,0.0
1044.6458313793619,4.439300559779522e-10,6.77915004142021e-11,0.0,0.0,4.932556177532799e-11,2.16088295282655e-11,0.0,0.0,0.0,0.0,0.0,0.0,3.9460449420262396e-11,1.9428982215418577e-11,5.623114042387395e-10,7.320192966299688e-11,0.0,0.0,7.892089884052479e-11,2.6898207883801146e-11,5.91906741303936e-11,2.740508275470744e-11,0.0,0.0
1054.8319840907716,4.3964317483325396e-10,5.952493036925076e-11,0.0,0.0,5.861908997776716e-11,2.714044121726694e-11,0.0,0.0,0.0,0.0,0.0,0.0,5.861908997776716e-11,2.331899215568605e-11,4.884924164813933e-10,6.132005388993065e-11,0.0,0.0,3.907939331851144e-11,1.9241363160573387e-11,7.815878663702287e-11,2.6638461064115278e-11,0.0,0.0
1065.1174601364091,4.1604668216499163e-10,6.034520534140653e-11,0.0,0.0,2.9026512709185452e-11,1.6588323819979565e-11,0.0,0.0,0.0,0.0,0.0,0.0,4.837752118197574e-11,2.1193506380788014e-11,4.063711779285965e-10,5.863648757023239e-11,0.0,0.0,8.707953812755633e-11,2.782902308217995e-11,6.772852965476604e-11,2.8367482144111848e-11,0.0,0.0
1075.5032280001565,4.1202906125140383e-10,6.424962438606444e-11,0.0,0.0,4.791035595946553e-11,2.0988847917885183e-11,0.0,0.0,0.0,0.0,0.0,0.0,3.8328284767572436e-11,1.8871542874883753e-11,4.311932036351901e-10,5.838085722998801e-11,0.0,0.0,7.665656953514486e-11,2.612646806243183e-11,9.582071191893106e-11,3.1940237306310367e-11,0.0,0.0
1085.9902656094082,5.124351815154732e-10,6.665234127441068e-11,0.0,0.0,4.7447701992173424e-11,2.477875422984614e-11,0.0,0.0,0.0,0.0,0.0,0.0,2.8468621195304062e-11,1.626949512769389e-11,3.7958161593738765e-10,5.87921550888709e-11,9.489540398434686e-12,9.489540398434686e-12,1.0438494438278152e-10,2.9841381690240584e-11,1.6132218677338968e-10,4.484581830087805e-11,0.0,0.0
1096.5795604271507,5.450783823109512e-10,7.338173622649538e-11,0.0,0.0,6.578532200304578e-11,2.4099268577787093e-11,0.0,0.0,0.0,0.0,0.0,0.0,5.638741885975353e-11,2.2431221272262777e-11,5.262825760243667e-10,6.852851294029852e-11,0.0,0.0,8.458112828963029e-11,2.7030577126408542e-11,1.0337693457621479e-10,3.2431741518683966e-11,0.0,0.0
1107.2721095449429,4.374360874997991e-10,5.834850978300368e-11,0.0,0.0,5.5842904787208364e-11,2.221461061878526e-11,0.0,0.0,0.0,0.0,0.0,0.0,2.7921452393604188e-11,1.595679434418174e-11,4.002074843083268e-10,6.515005558507643e-11,0.0,0.0,5.5842904787208364e-11,2.221461061878526e-11,1.3030011117015286e-10,3.5049571041317454e-11,0.0,0.0
1118.0689197768052,5.25384664562796e-10,7.554894655545007e-11,0.0,0.0,6.452092371823805e-11,2.363607902535982e-11,0.0,0.0,0.0,0.0,0.0,0.0,4.6086374084455754e-11,2.0189787309528426e-11,4.424291912107755e-10,6.071794653366304e-11,0.0,0.0,9.217274816891151e-11,2.7791129233836115e-11,1.0139002298580264e-10,2.8985198903843878e-11,0.0,0.0
1128.9710077540187,4.746698703557763e-10,6.013161403233761e-11,0.0,0.0,5.476960042566646e-11,2.178764431826862e-11,0.0,0.0,0.0,0.0,0.0,0.0,5.476960042566646e-11,2.178764431826862e-11,4.0164373645488767e-10,5.848541480655777e-11,0.0,0.0,9.128266737611075e-11,2.752275977721592e-11,9.128266737611075e-11,2.752275977721592e-11,0.0,0.0
1139.9794000208517,5.78567563455678e-10,7.098454012627607e-11,0.0,0.0,9.040118178994962e-11,2.725698187290656e-11,0.0,0.0,0.0,0.0,0.0,0.0,7.232094543195971e-11,2.4648779387482147e-11,4.610460271287434e-10,6.359313428138263e-11,0.0,0.0,4.520059089497481e-11,1.9801738248319947e-11,7.232094543195971e-11,2.4648779387482147e-11,0.0,0.0
1151.0951331312208,5.72980533820526e-10,7.689935173161787e-11,0.0,0.0,2.6858462522837147e-11,1.5349307651918432e-11,0.0,0.0,0.0,0.0,0.0,0.0,4.4764104204728565e-11,1.961051961559865e-11,4.3868822120634024e-10,6.79268733922924e-11,0.0,0.0,5.371692504567429e-11,2.1368884338578872e-11,8.057538756851141e-11,2.5750415869398285e-11,0.0,0.0
1162.3192537462933,4.78783791189842e-10,6.353760686215347e-11,0.0,0.0,7.979729853164028e-11,2.5501752885732023e-11,0.0,0.0,0.0,0.0,0.0,0.0,8.866366503515586e-11,2.955455501171863e-11,4.6105105818281085e-10,6.106496694083305e-11,0.0,0.0,7.09309320281247e-11,2.417502820057314e-11,8.866366503515586e-11,2.67331008599423e-11,0.0,0.0
1173.652818733039,3.512298810455125e-10,5.719242524327193e-11,0.0,0.0,7.024597620910246e-11,2.394157819833091e-11,0.0,0.0,0.0,0.0,0.0,0.0,3.512298810455124e-11,1.729336389375432e-11,4.302566042807529e-10,5.510493387469094e-11,0.0,0.0,7.902672323524028e-11,2.52554911556955e-11,1.492726994443428e-10,3.542106689826885e-11,0.0,0.0
1185.096895263747,5.217572608110555e-10,6.302332696348439e-11,0.0,0.0,6.087168042795644e-11,2.2299244432468222e-11,0.0,0.0,0.0,0.0,0.0,0.0,3.4783817387403676e-11,1.7126367776673426e-11,4.174058086488443e-10,6.238991061634356e-11,0.0,0.0,7.826358912165827e-11,2.7898878515630903e-11,1.1304740650906196e-10,2.939212298875862e-11,0.0,0.0
