cell,flux,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev",tbr,tbr_stdev,"U238(n,fis)","U238(n,fis)_stdev","U238(n,g)","U238(n,g)_stdev",Pu239_kg/yr,Pu239_kg/yr_stdev
11,3.093564186716959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,6.1869411989563226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,30.88440783661501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,6.200821017507312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,272.1338249621759,0.8009887602397961,8.645792686964212e-05,0.0017227169586683327,1.8451916994905964e-07,0.8027114771984645,8.664244603959117e-05,0.007052306220557476,6.227263413837712e-07,0.01601315145064135,2.2364541076321714e-06,71.08269785968265,0.009927664276446766
23,27.688082278510134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,121.64988434095066,0.4266812298222489,5.014342578827948e-05,0.00018235014876458736,8.167756443986067e-08,0.4268635799710135,5.022510335271934e-05,0.0011422625320452776,3.306914279933213e-07,0.009351394865205474,1.6029032206565168e-06,41.511027846012496,0.007115319285116485
24,11.07768602378558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,1.7491092387581744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,12.622044913304869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,7.657594982385336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,31.34287382858968,0.12417995210223891,3.57983880864698e-05,1.6266299215962303e-05,2.266621611938972e-08,0.12419621840145487,3.582105430258919e-05,0.00013721041959693884,1.0083683732867341e-07,0.002909120234337915,1.1253478131127659e-06,12.913642595108849,0.0049954413304038
26,6.857279766096943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,1.1049849314830633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,8.040284020508738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total,548.2893835263445,1.3518499421642838,0.00017239974074439142,0.0019213334066488824,2.8886295050831004e-07,1.3537712755709328,0.00017268860369489968,0.008331779172199693,1.054254606705766e-06,0.028273666550184737,4.964705141401454e-06,125.507368300804,0.02203842489196705
