cell,flux,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev",tbr,tbr_stdev,"Th232(n,fis)","Th232(n,fis)_stdev","Th232(n,g)","Th232(n,g)_stdev",U233_kg/yr,U233_kg/yr_stdev
11,3.0843011339218327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,6.168319807440261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,30.787634074576122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,6.18104902162826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,270.2711437248152,0.8084252238882005,8.56892564235165e-05,0.001757640126680319,1.8897252145552587e-07,0.8101828640148808,8.587822894497202e-05,0.000877059669678694,7.590837365947308e-08,0.009159685363114088,1.2514796878290819e-06,39.63736360905194,0.0054156178372222405
23,27.402102146525444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,120.19614541675303,0.4283200804477827,6.020285005238267e-05,0.00018051555783484628,8.05692165245811e-08,0.4285005960056175,6.028341926890725e-05,0.00012837908025644653,3.622000753434686e-08,0.00525868339516174,9.204054797951356e-07,22.75627792612787,0.003982936664759027
24,10.964208459306876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,1.7312475357613375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,12.482425269706225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,7.578637826635348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,31.403226206051613,0.12752619147660713,3.3751937378221054e-05,1.566916027660515e-05,2.201895029184757e-08,0.12754186063688372,3.3773956328512904e-05,1.439027064387119e-05,1.1467121690811615e-08,0.0016684270735226948,7.032034652102988e-07,7.219904172114714,0.0030430228044655977
26,7.373831312094991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.7252516136543872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,7.162811161356274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total,543.5123347102272,1.36427149581259,0.00017964404385412022,0.0019538248447917702,2.9156068827195454e-07,1.366225320657382,0.00017993560454239218,0.0010198290205790117,1.2359550288463156e-07,0.016086795831798523,2.8750886328345164e-06,69.61354570729452,0.012441577306446865
