cell,flux,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev",tbr,tbr_stdev,"U238(n,fis)","U238(n,fis)_stdev","U238(n,g)","U238(n,g)_stdev",Pu239_kg/yr,Pu239_kg/yr_stdev
11,3.0984361715563047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,6.19557244200016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,30.925833660674293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,6.20842283614071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,271.0929097421519,0.8202172390339364,7.845090501029744e-05,0.0017827341208399375,1.7886800585749754e-07,0.8219999731547764,7.862977301615493e-05,0.0008031649241374763,6.818087408287174e-08,0.0017660251733282754,2.3011086999967285e-07,7.839420878221924,0.0010214667298210274
23,27.448173806836675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,120.283671155346,0.4332252865088314,6.219865212440903e-05,0.0001796549911247349,7.744268098433538e-08,0.4334049414999561,6.227609480539337e-05,0.00012685309290192545,3.632038471077767e-08,0.0010332656688636576,2.7802025202357956e-07,4.586686860173087,0.0012341374297483096
24,10.957180174872587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,1.729821347372658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,12.495677170475085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,7.5830308223950915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,31.377637255689905,0.12867496712529555,3.463419828240987e-05,1.5322230086930994e-05,2.1005814361607517e-08,0.1286902893553825,3.465520409677147e-05,1.4894006583407552e-05,1.0549710756878155e-08,0.0003334295043269219,1.9389095598432642e-07,1.4801002030506043,0.0008606858109374156
26,7.358552249413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.7238068328784385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,7.122157308333299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total,544.6008829761361,1.3821174926680633,0.00017528375541711632,0.0019777113420516037,2.7731650120344044e-07,1.3840952040101149,0.00017556107191831976,0.0009449120236228092,1.1505096955052756e-07,0.0031327203465188547,7.020220780075789e-07,13.906207941445615,0.0031162899705067526
