filename,fertile_kg/m3,fertile_mt,"Li6(n,t)","Li7(n,Xt)","Th232(n,g)",tbr,U233_kg/yr
tallies_FLiBe_900K_Li07.5_Th232_135.00kgm3,135.0,83.42966863804801,0.9957938268172593,0.0965733024411395,0.1131904705173781,1.0923671292583983,489.81724361890696
tallies_FLiBe_900K_Li07.5_Th232_000.10kgm3,0.1,0.06179975454670223,1.0938366892456868,0.1003629302792626,0.000125598499376,1.1941996195249494,0.5435113970799619
tallies_FLiBe_900K_Li07.5_Th232_000.00kgm3,0.0,0.0,1.093953004787943,0.1003657746119995,0.0,1.1943187793999426,0.0
tallies_FLiBe_900K_Li07.5_Th232_750.00kgm3,750.0,463.4981591002667,0.7797381290357901,0.0802589846882216,0.3816044414196717,0.8599971137240117,1651.3442765503744
tallies_FLiBe_900K_Li07.5_Th232_250.00kgm3,250.0,154.49938636675557,0.9414304782035888,0.0934060307850682,0.1785131899172161,1.0348365089886569,772.4929336824766
tallies_FLiBe_900K_Li07.5_Th232_060.00kgm3,60.0,37.079852728021336,1.0417835086633958,0.0986754909232697,0.0592862755270908,1.1404589995866654,256.5537534244307
tallies_FLiBe_900K_Li07.5_Th232_001.50kgm3,1.5,0.9269963182005334,1.092217699429013,0.1003232298152337,0.0018677427535628,1.1925409292442466,8.082417213725376
tallies_FLiBe_900K_Li07.5_Th232_090.00kgm3,90.0,55.619779092032005,1.0218539199254704,0.0978278908832722,0.082470874505554,1.1196818108087423,356.8821319012834
tallies_FLiBe_900K_Li07.5_Th232_045.00kgm3,45.0,27.809889546016002,1.0528356444974123,0.0990959739024607,0.0465090934547803,1.1519316183998731,201.2621367779996
tallies_FLiBe_900K_Li07.5_Th232_000.50kgm3,0.5,0.3089987727335112,1.0934003976910258,0.1003519128774306,0.0006264399101426,1.1937523105684564,2.710838365424271
tallies_FLiBe_900K_Li07.5_Th232_999.99kgm3,999.99,617.9913654915676,0.716510808761371,0.0740604602781349,0.4633896280278933,0.7905712690395059,2005.259182020678
tallies_FLiBe_900K_Li07.5_Th232_500.00kgm3,500.0,308.99877273351115,0.8517314907914146,0.0867032110780645,0.2896436622731737,0.9384347018694792,1253.3957994683828
tallies_FLiBe_900K_Li07.5_Th232_075.00kgm3,75.0,46.34981591002667,1.031578989240129,0.0982519596904869,0.0712177067773714,1.129830948930616,308.1854918625498
tallies_FLiBe_900K_Li07.5_Th232_015.00kgm3,15.0,9.269963182005334,1.0784270332789452,0.09994181727531,0.0173881875129366,1.178368850554255,75.24515129396629
tallies_FLiBe_900K_Li07.5_Th232_003.00kgm3,3.0,1.8539926364010668,1.0905807171978057,0.1002797383142278,0.0037023258165027,1.1908604555120332,16.02134011926452
tallies_FLiBe_900K_Li07.5_Th232_105.00kgm3,105.0,64.88974227403735,1.0127254421109462,0.0974095013911815,0.0931792380818672,1.110134943502128,403.2212018481085
tallies_FLiBe_900K_Li07.5_Th232_120.00kgm3,120.0,74.15970545604267,1.0040559771031756,0.0969917423189366,0.103393618599113,1.1010477194221122,447.4226234639314
tallies_FLiBe_900K_Li07.5_Th232_030.00kgm3,30.0,18.539926364010668,1.06499237998741,0.0995201223605748,0.0326675856608319,1.1645125023479848,141.36478707910828
tallies_FLiBe_900K_Li07.5_Th232_150.00kgm3,150.0,92.69963182005334,0.9879435461297102,0.0961563548751369,0.1226027565095732,1.084099901004847,530.5477040523411
tallies_FLiBe_900K_Li07.5_Th232_007.50kgm3,7.5,4.634981591002667,1.085794987369516,0.1001531827815656,0.009024975671661,1.185948170151082,39.05442469683875
